Region_Key,geolocation,Area
101,NCR: National Capital Region,619.57
102,CAR: Cordillera Administrative Region,19422.03
103,Region 1: Ilocos Region,13012.6
104,Region 2: Cagayan Valley,28228.83
105,Region 3: Central Luzon,22014.63
106,Region 4A: CALABARZON,16873.31
107,MIMAROPA: Southwestern Tagalog Region,29620.9
108,Region 5: Bicol Region,18155.82
109,Region 6: Western Visayas,20794.18
110,Region 7: Central Visayas,15487.69
111,Region 8: Eastern Visayas,23251.1
112,Region 9: Zamboanga Peninsula,17056.73
113,Region 10: Northern Mindanao,20496.02
114,Region 11: Davao Region,20357.42
115,Region 12: SOCCSKSARGEN,22513.3
116,CARAGA: CARAGA Administrative Region,21478.35
117,BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,12535.79
